Seed,Source,RMS standard contribution (N)
11,state,0.6673295129044351
11,acceleration noise,0.6
11,mass tolerance,0.72792300492541
11,stiffness tolerance,0.0017760566040850901
11,damping tolerance,0.10005767566082695
11,acceleration scale,0.1819807512313525
11,acceleration bias,0.12000000000000001
11,displacement biases,0.0011313708498984758
11,actuator bias,0.20000000000000004
11,output synchronization,0.43160733023396974
12,state,0.6673295129044351
12,acceleration noise,0.6
12,mass tolerance,0.7183538010051994
12,stiffness tolerance,0.0017638006307496709
12,damping tolerance,0.09878122222052646
12,acceleration scale,0.17958845025129985
12,acceleration bias,0.12000000000000001
12,displacement biases,0.0011313708498984758
12,actuator bias,0.20000000000000004
12,output synchronization,0.43017282608041063
13,state,0.6673295129044351
13,acceleration noise,0.6
13,mass tolerance,0.706341727079117
13,stiffness tolerance,0.0017967581097986488
13,damping tolerance,0.09804172236015438
13,acceleration scale,0.17658543176977926
13,acceleration bias,0.12000000000000001
13,displacement biases,0.0011313708498984758
13,actuator bias,0.20000000000000004
13,output synchronization,0.4318688184013608
14,state,0.6673295129044351
14,acceleration noise,0.6
14,mass tolerance,0.7034022024910571
14,stiffness tolerance,0.0017812679984984597
14,damping tolerance,0.09767301868757446
14,acceleration scale,0.17585055062276428
14,acceleration bias,0.12000000000000001
14,displacement biases,0.0011313708498984758
14,actuator bias,0.20000000000000004
14,output synchronization,0.4303283033241808
15,state,0.6673295129044351
15,acceleration noise,0.6
15,mass tolerance,0.6979391766267151
15,stiffness tolerance,0.001773614558740407
15,damping tolerance,0.09693266052960914
15,acceleration scale,0.17448479415667878
15,acceleration bias,0.12000000000000001
15,displacement biases,0.0011313708498984758
15,actuator bias,0.20000000000000004
15,output synchronization,0.4269200934906834
16,state,0.6673295129044351
16,acceleration noise,0.6
16,mass tolerance,0.7132467652063254
16,stiffness tolerance,0.0017943235929449226
16,damping tolerance,0.09884232901760648
16,acceleration scale,0.17831169130158134
16,acceleration bias,0.12000000000000001
16,displacement biases,0.0011313708498984758
16,actuator bias,0.20000000000000004
16,output synchronization,0.4260381307982424
17,state,0.6673295129044351
17,acceleration noise,0.6
17,mass tolerance,0.7122962694530378
17,stiffness tolerance,0.0017811723182067833
17,damping tolerance,0.09914173048774946
17,acceleration scale,0.17807406736325945
17,acceleration bias,0.12000000000000001
17,displacement biases,0.0011313708498984758
17,actuator bias,0.20000000000000004
17,output synchronization,0.4339244518963911
18,state,0.6673295129044351
