Threshold H (N),Method,Decision disagreement mean (%),Decision disagreement std (%),False positive mean (%),False positive std (%),False-safe mean (%),False-safe std (%),Indeterminate mean (%),Indeterminate std (%)
30.0,Reconstructed force,0.8142397273243704,0.13515891932879287,1.0706728175635374,0.2856060140766073,0.653809770684934,0.14242248405994506,0.0,0.0
30.0,Uncertainty-aware force,,,0.027250874770547107,0.04103682239282324,0.01389539370898398,0.018700850741055333,4.268131035788676,0.30467485577287745
40.0,Reconstructed force,0.7886763870479075,0.10574735983308232,0.806680947839873,0.18473151496346582,0.7706474816114881,0.15655776964672524,0.0,0.0
40.0,Uncertainty-aware force,,,0.015188711638688535,0.028595173871543218,0.013207589379724539,0.018468085035475666,3.8913084643060025,0.24792248214747578
50.0,Reconstructed force,0.6362431357697406,0.11998097152017818,0.5002820069077071,0.13010037332247,0.8383654050530683,0.16625045395224683,0.0,0.0
50.0,Uncertainty-aware force,,,0.018965802998547922,0.021480945267001287,0.009324953810478124,0.019135619364838454,3.1906835826548,0.256158857384372
60.0,Reconstructed force,0.5983715205453513,0.12247176063962532,0.4418760134872154,0.12219332053556381,0.9375308365072501,0.254703571623166,0.0,0.0
60.0,Uncertainty-aware force,,,0.013813666610784398,0.024494807880493085,0.012038127901261143,0.024702758982881007,3.078015527362242,0.2597419029937145
70.0,Reconstructed force,0.5046392728649877,0.10485125555115533,0.33328205790295573,0.08253969764487003,1.0612207929416784,0.3278457218198261,0.0,0.0
70.0,Uncertainty-aware force,,,0.01115130440486568,0.012648934561568102,0.027978004768742765,0.05942490533438172,2.641545161901155,0.2595983675487885
80.0,Reconstructed force,0.41942813861011163,0.09680293502748653,0.2592923135349022,0.07348129196560793,1.2185631943319541,0.38420079226318615,0.0,0.0
80.0,Uncertainty-aware force,,,0.003403742391051978,0.008313113547396984,0.03416691508120341,0.06562538825876496,2.1397462601779966,0.2121984717048434
