Force RMSE (N),Force MAE (N),Force bias (N),Filtered Fc std (N),ATR (%),Integral u2,Position-state RMSE (um),Velocity-state RMSE (m/s),Modal displacement RMSE,Modal velocity RMSE,State events,Check triggers,Max state norm,Max V,Minimum inter-event time (ms),Maximum OFF interval (ms),Finite trajectory,Speed (km/h),Method,Improvement vs passive (%)
0.027115346324181527,0.014262214239494808,0.00012819948381426617,30.42624061542787,0.0,0.0,0.3287440104648078,9.050844822939981e-05,0.0024704074765738797,0.13067594354225237,0,0,0.2535539161555405,41.05023442574812,,0.0,True,250.0,Passive,0.0
0.026551917024382376,0.014597932812243457,0.00016174696914711723,29.085656820178993,100.0,1742.2621452316719,0.23301444340293684,8.83708666033901e-05,0.002807490134519279,0.1491081563989988,0,0,0.18852077814399865,25.39094885799399,,0.0,True,250.0,Legacy continuous,4.406011942760755
0.02655410977061345,0.01459572677306224,0.00016181518468187905,29.083532255443835,100.0,1740.3858782792277,0.233035935020384,8.83780091047099e-05,0.002807775866351951,0.14912401311180276,0,0,0.1885000934447296,25.386531692260455,,0.0,True,250.0,Rate-matched continuous,4.412994615257208
0.02568615325592982,0.013427092192333272,0.000248319647437621,30.362794324411027,44.44882821747021,1480.0686007039849,0.3759659063826524,8.561214593663171e-05,0.002665175685088103,0.1404176261274481,189,44,0.2583844173352211,29.874971930343158,14.99999999999968,57.93575638502002,True,250.0,Phase 12 intermittent,0.20852491051645294
0.04621595319906246,0.027762831271964453,0.0002283152947191614,36.725077238938475,0.0,0.0,0.3573132512667568,0.00015420865423486759,0.003388597852820002,0.17406449825128975,0,0,0.28440730332458536,65.74047399524922,,0.0,True,300.0,Passive,0.0
0.03984411400616867,0.024083065473151644,9.457108935513672e-05,36.37164627012882,100.0,1618.5650849652939,0.29614477884246804,0.00013263649235882902,0.0029696603346422664,0.15271568661107382,0,0,0.16528899005516404,21.35350528194908,,0.0,True,300.0,Legacy continuous,0.962369572459121
0.039845920057107256,0.02408428623489539,9.461485253875457e-05,36.37280999687018,100.0,1617.735222831906,0.2960888927194031,0.00013264283120013434,0.0029696985148554293,0.15271764529633078,0,0,0.16528819726993824,21.352524959811834,,0.0,True,300.0,Rate-matched continuous,0.9592008201273313
0.0419462295623249,0.0246098135928979,0.00039935509028002516,36.43592652921499,55.97954739134552,1309.4407601840821,0.39832228273717263,0.00013982339505067603,0.0032883043331160856,0.16884032758110715,197,26,0.22839464075176932,27.968572067023658,16.499999999999737,51.63932410744221,True,300.0,Phase 12 intermittent,0.7873386020190825
0.062212659783643695,0.038385779859675166,-0.00023963181629688536,38.59127094137464,0.0,0.0,0.32113318295248516,0.0002074779034389072,0.00311015290333717,0.17029654878252407,0,0,0.2530306787912154,65.79715056373493,,0.0,True,350.0,Passive,0.0
0.057345026764558535,0.03527109579523064,-1.9471583164585025e-06,37.82181651875464,100.0,1224.4393233156375,0.2963951599920778,0.00019098997541631786,0.0029512092785884876,0.1617337303022368,0,0,0.15382293813144865,28.76566873124175,,0.0,True,350.0,Legacy continuous,1.99385613339583
0.057344111630066766,0.03527011915661012,-2.451402763786998e-06,37.82177294871304,100.0,1224.7950024736997,0.2963968329693631,0.0001909869586291528,0.002951155415794634,0.16173129375209408,0,0,0.15382088078213388,28.764928128815527,,0.0,True,350.0,Rate-matched continuous,1.9939690346829213
0.06040715864748203,0.03704414680709228,-6.9002647671988855e-06,37.45599025304914,61.131366699812176,856.6670073649314,0.3810118229399677,0.0002013808843806662,0.0032443181636179976,0.17613459383742272,156,20,0.24595510615793026,44.98919831935684,19.49999999999985,47.966644248732315,True,350.0,Phase 12 intermittent,2.941806943985199
