Time (s),True q1,Estimated q1,True q2,Estimated q2,True yc (m),Estimated yc (m),True Fc (N),Estimated Fc (N)
0.66,-5.569119828119336e-07,0.0025027213735660447,-6.500792475463072e-07,-0.002577481435944888,-0.00012428440284621912,-3.108783006180234e-05,180.37744779893805,179.01573072741547
0.6605,-1.072068236606253e-06,0.0024855625828585897,-1.2225431854438518e-06,-0.002574536147672147,-7.84219891619403e-05,-4.2803319145122266e-05,177.2468283126128,176.55720527674103
0.661,-1.5713254069506104e-06,0.0026274974116923316,-1.7774118333493352e-06,-0.00256278236527969,-3.472802221767369e-05,-9.804491460225012e-05,173.94687902893696,172.81133691621758
0.6615,-2.0464433797605987e-06,0.00260892410210717,-2.3055756790489017e-06,-0.0025533676940106896,6.3973277621350055e-06,-0.0001188976077420002,170.51118057063627,170.6085547687414
0.662,-2.48936058152775e-06,0.00283999311963329,-2.7981229590427145e-06,-0.0023351364571795145,4.456519126471681e-05,-0.00026634572131256206,166.97588292222034,166.7604847004923
0.6625,-2.8923739794302912e-06,0.002821585842073197,-3.2465385751883242e-06,-0.0023181381440446893,7.940355245233447e-05,-0.00030556551590532166,163.37575813069725,162.226081254536
0.663,-3.2483152702068327e-06,0.002160802353060325,-3.6428987943050326e-06,-0.002899157350443911,0.00011056323334398375,8.86209823505489e-05,159.74896529605832,157.71502221530028
0.6635,-3.550726354300507e-06,0.0021328602339085435,-3.980065144994651e-06,-0.002892340777994978,0.00013772446382906151,9.934945262231222e-05,156.13787978166138,154.97327928222572
0.664,-3.7940326903847776e-06,0.0024471379269347796,-4.251875956381649e-06,-0.0025312880730700535,0.00016060399822367052,-0.0001860727213964823,152.58385947221558,151.0814518936823
0.6645,-3.973704087732291e-06,0.0024212826162316255,-4.453324006008668e-06,-0.002515119317301531,0.00017896241710676862,-0.00020256223100666214,149.12673756262876,148.00187214544252
0.665,-4.086398816728361e-06,0.0023918433188664843,-4.580715724876047e-06,-0.0024978206013567994,0.0001926114508906188,-0.00021864859590352092,145.80431222618887,144.13907536421092
