Speed (km/h),Method,Mean Fc (N),Std Fc (N),Min Fc (N),Max Fc (N),Loss of contact (%),ATR (%),Integral u^2 dt,Peak |u| (N),Peak |du/dt| (N/s),State-event triggers,Check-period triggers
250,Passive actual,119.91746868042921,30.426240628793686,42.768374900548594,202.35243088579065,0.0,0.0,0.0,0.0,0.0,0,0
250,Fixed-midspan continuous,119.9815052829706,28.721811547261,49.96014493517286,198.2018975881142,0.0,100.0,2251.5194180181834,47.956643113872424,35475.18169187334,0,0
250,5-point scheduled continuous,120.03279371632937,28.370668741324902,54.19155544343616,194.34713857137555,0.0,100.0,1903.4124505835275,55.37723475458574,84277.80087418572,0,0
250,Fixed-midspan intermittent performance,120.11012185262581,29.408241049378024,52.696315746795925,201.26093528952106,0.0,87.44575080880612,2160.5906153857777,81.01125888659031,10000.000000000015,157,71
250,5-point scheduled intermittent performance,120.27599404152708,28.849085244799664,54.94581602236207,198.2762508957939,0.0,87.31949814566401,2161.711025715696,87.096718132701,10000.000000000015,158,71
250,5-point scheduled intermittent balanced,120.0101890064879,29.389755176072573,47.63769268578272,201.042164767227,0.0,66.4641363528762,3388.6971014158858,97.5528258147614,10000.000000000015,221,33
300,Passive actual,119.91711585062009,36.725077238938475,30.918071739735588,209.41479697469376,0.0,0.0,0.0,0.0,0.0,0,0
300,Fixed-midspan continuous,120.04428382867302,36.1365424121379,35.598789144784206,202.40656113195797,0.0,100.0,2071.2340115005472,51.13752443589375,51526.42594811397,0,0
300,5-point scheduled continuous,120.03044156519269,35.4482596278751,41.644915594955954,200.7217972345759,0.0,100.0,1651.3151702801192,40.27101438210681,40908.92308116258,0,0
300,Fixed-midspan intermittent performance,119.78199589137876,36.147851686831096,38.90914079346262,203.20776871208392,0.0,80.31436417005965,1007.1672394035552,60.268876732748325,10000.0,79,98
300,5-point scheduled intermittent performance,120.14081723534674,36.053200203748354,45.46036077165522,202.42537861748207,0.0,84.93513871792445,1026.215666435485,64.0858655047309,10000.000000000007,114,71
300,5-point scheduled intermittent balanced,120.15464463061748,36.35434830821667,26.09197501129331,209.2123824730088,0.0,70.542562257362,2264.31703716015,97.5528258147571,10000.000000000015,210,20
350,Passive actual,119.88736376976165,38.59127094137464,32.59405994608948,192.6183284381157,0.0,0.0,0.0,0.0,0.0,0,0
350,Fixed-midspan continuous,120.05546018248856,37.30821747525619,43.21817369357023,190.03448200640082,0.0,100.0,1698.961520755825,52.23961995754066,61110.229317823156,0,0
350,5-point scheduled continuous,120.13773297746245,36.9684595738521,44.636643662517415,182.79954284243752,0.0,100.0,1229.0835977872043,39.32127988158506,44936.670041802005,0,0
350,Fixed-midspan intermittent performance,119.99155869048869,37.69482987818713,33.96873497888171,188.07062230308372,0.0,86.14517732847199,869.8814535893157,54.35284774424786,10000.000000000007,102,59
350,5-point scheduled intermittent performance,119.87852952512699,37.523308583242084,41.101068234059476,183.88088665867593,0.0,86.71969948072035,760.5236371175989,58.95091388898638,10000.0,113,49
350,5-point scheduled intermittent balanced,119.83325341093872,37.29147548694307,43.903033923161566,188.55929225644275,0.0,62.64501160092807,789.1077560235428,93.55226232598757,10000.000000000015,145,29
