Speed (km/h),xi_center_m,Passive local Std Fc (N),Normalized severity
250.0,2.5,31.022611321327595,0.23566476989696286
250.0,7.5,33.34732831771264,0.37987391652294333
250.0,12.5,28.343480100557784,0.06947024916733345
250.0,17.5,27.22358810507108,0.0
250.0,22.5,29.518063555807903,0.14233317312152294
250.0,27.5,32.20816440276628,0.30920817256487054
250.0,32.5,28.161477020305185,0.05818005387588905
250.0,37.5,31.01907398108287,0.23544533810427112
250.0,42.5,31.003236480575158,0.23446289059067826
250.0,47.5,31.783792332275596,0.28288310408017936
250.0,52.5,27.482497174205054,0.016060903745099674
300.0,2.5,37.84626189073414,0.6589562187133927
300.0,7.5,36.51334205862888,0.5762712158473889
300.0,12.5,35.01175060240666,0.4831230077775908
300.0,17.5,34.18481574616459,0.4318257659544425
300.0,22.5,35.323728516521086,0.5024759306626367
300.0,27.5,37.23476054557474,0.6210229617693415
300.0,32.5,38.144830013258286,0.6774772921282991
300.0,37.5,36.06086287596004,0.548202579148745
300.0,42.5,34.665896453207985,0.4616686407339672
300.0,47.5,35.834580939511795,0.5341656340053926
300.0,52.5,39.65409826411618,0.7711017147244049
350.0,2.5,38.606197182672055,0.7060972772214799
350.0,7.5,36.90292177210849,0.6004380103910046
350.0,12.5,36.43067722174046,0.5711432688318201
350.0,17.5,37.11402998333874,0.6135336839867979
350.0,22.5,38.19489793005352,0.6805831547195775
350.0,27.5,39.64055109535506,0.7702613433375749
350.0,32.5,39.398714628803056,0.7552595041809216
350.0,37.5,37.05592302417725,0.6099291355592947
350.0,42.5,36.30539514165523,0.5633716467871959
350.0,47.5,38.22121654174071,0.6822157769001234
350.0,52.5,43.34404267245205,0.999999999999938
