Speed (km/h),xi_m,severity,K_norm,P_condition_number
250.0,5.5,0.3221902578725512,71223.1693748434,64456.03934663694
250.0,13.75,0.052102686875500084,93488.91377978011,75661.83968031817
250.0,27.5,0.30920817256487054,65493.461566739585,76495.44323999507
250.0,41.25,0.23470850246907649,114927.3570203651,97261.65939096986
250.0,49.5,0.1761542239461475,71724.91945309783,62443.20387340145
300.0,5.5,0.6093452169937904,88805.56030043578,68567.09752019258
300.0,13.75,0.47029869732180374,115129.55170870827,82058.68770323263
300.0,27.5,0.6210229617693415,81873.87881299235,80914.00569699614
300.0,41.25,0.48330212533766165,140631.33816243682,95384.52929974355
300.0,49.5,0.6289400662929976,89254.12829301391,66169.24001496693
350.0,5.5,0.6427017171231948,93949.26637386455,69642.84096706056
350.0,13.75,0.5817408726205645,121413.48967018221,83921.36656229726
350.0,27.5,0.7702613433375749,86677.02072630524,81996.21838957604
350.0,41.25,0.5750110189802206,148066.4929703219,94990.4378633678
350.0,49.5,0.8093294661400492,94380.84803029792,67128.73080815497
