Profile,gamma1,gamma2,phi1,phi2
1,0.9023069825201178,0.9333562330381431,1.2615928672388128,4.972110962358478
2,1.0714183447433276,0.9423448561764307,4.470433678614027,1.6110842738189561
3,1.1029071806274757,0.9641377583847595,2.763288973193147,3.1534124709538562
4,0.8512938174185,1.1809799827296215,3.6362119485740494,0.4689988744730219
5,1.0735343482964017,1.0070519788305516,2.4319023188484157,6.0700376412509796
6,0.8410019075542527,0.9577684783817042,1.4868888505501965,1.5312122858867503
7,1.1933979832989101,0.9834910843537156,6.058982556986765,2.361541898167651
8,0.9185718406904886,1.0137091115759775,1.3130507512906573,4.731093611955988
9,0.9869804122925476,0.9681733790890138,1.108805011749155,0.6599159264321407
10,1.144053245118878,0.8610216591958766,5.8338159110155505,0.07234511894573595
